id,brand,name,desc,price,product_id,cluster_id
1434308545,Beco,"Comfort foam mattress ""Royal Duo KS"", Beco, 21 cm high, density: 30, orthopedic mattress core contour, white, 140 cm x 200 cm x 21 cm 140 cm x 200 cm x 21 cm","Beco: The comfort foam mattress ""Royal Duo KS"" from BeCo is approx. 21 cm high, has 7 sleeping zones and is extremely point-elastic, dimensionally stable and breathable. All firmness levels H2, H3 and H4 = 1 price. It features a special orthopedic mattress core contour that supports nighttime spinal extension and intervertebral disc regeneration. In addition, the mattress has a soft shoulder relief system. The skin-friendly, functional and elastic double-cloth cover (100% polyester) is quilted with a breathable climate fiber (100% polyester). The cover has a 4-sided zipper, is separable, removable and washable up to 60 °C. Ideal for people allergic to pet hair. The open-pored materials ensure a good sleeping climate. Made in Germany.",251.99,1739985306,2
1628142291,Bibliographisches Institut  Berlin,Easy Learning with Raven Linus: My Learning Memo with Raven Linus - Syllables (Children's Game),Easy Learning with Raven Linus: My Learning Memo with Raven Linus - Syllables (Children's Game). Which pieces belong together? Find the matching syllables and discover what the complete words look like! Children aged 5 and up can develop a feel for words and syllables in a playful way while simultaneously strengthening their concentration and memory. The memo game with Raven Linus is a playful training tool for learning to read.,7.99,2721550319,18
3082154081,Adidas,"adidas handball shoe ""Handball Spezial"", moisture-repellent, padded insole, men's, black/white, 42 2/3, 2/3","In 1979 it was the shoe of choice among professional handball players; today the classic is a celebrated streetwear favorite. This version features an upper made of soft nubuck suede. For the authentic vintage vibe, the soft natural rubber outsole is of course included.",99.95,1622655555,24
4358894069,Graef,Graef Slicer SLICED KITCHEN SKS 903 (slicer),eBay template - computeruniverse\n\n&nbsp;\n\n&nbsp;\n\n&nbsp;\n\n&nbsp;\n\n&nbsp;\n\n&nbsp;\n\n1\n\n--Notebooks & PCs\n--Notebooks & Accessories\n--Notebooks\n--Notebook Accessories\n--Notebook Bags\n--PC Systems\n--Servers & Accessories\n--Servers\n--Server Accessories\n--E-Book Readers & Accessories\n--E-Book Readers\n--E-Book Reader Accessories\n--Computers & Office\n--Monitors\n--Multifunction Devices & Printers\n--Multifunction Devices\n--Laser Printers\n--Inkjet Printers\n--Photo Printers\n--Printer Accessories\n--USB Cables\n--Specialty Printers / Plotters\n--Keyboards & Mice\n--Mice\n--Keyboards\n--Trackballs\n--Presenters\n--Graphics Tablets\n--KVM Switch Boxes\n--Cleaning Products\n--USB Sticks / External HDDs / NAS\n--USB Sticks\n--USB Accessories\n--External Hard Drives\n--Hard Drive Accessories\n--NAS\n--NAS Accessories\n--Speakers\n--Webcams\n--Headsets\n--Headset Accessories\n--Headphones\n--Headphone Accessories,632.53,1043146066,33
2073591147,BeCo EXCLUSIV,"Comfort foam mattress Wellness Deluxe, BeCo EXCLUSIV, 27 cm high, Foam density: 35, rated ""VERY GOOD"" by customers *100 cm x 200 cm x 27 cm","Details Sleeping position , side sleeper, Number of sleeping zones , 7, Firmness level , 3, Body weight from , 81 kg, Body weight up to , 100 kg, Features & functions Number of carry handles , 4 pcs., Allergy information , suitable for house dust mite allergy sufferers, Mattress properties , usable as a flippable mattress, Mattress cover properties , removable with zipper, Dimensions & weight Width , 100 cm, Length , 200 cm, Height , 27 cm, Cover Type Top cover , double cloth, Bottom cover type , double cloth, Material composition , Cover: 77% polyester, 21% viscose, 2% elastane. Quilting fill: 100% polyester, Care instructions , Cover machine wash up to 60°C, Core construction Core construction , comfort foam (wave, 24 cm high, 35 kg/m3), Additional information Warranty (core) , 5 year(s), Test seal , Tested ""GOOD"" for product quality by TÜV SÜD in size 90/200 cm firmness level 2. Tested: mechanical durability; lying properties; ingredients (identical to model ""Wellness Delux"" according to certificate Z2 12 11 21620 088) Customers rated * 11-12/2014! With an overall grade of 1.1; Lying properties: 1.1, Hygiene: 1.0; Handling: 1.2; 9 out of 10 customers would recommend this mattress. *Result of a customer survey: Nov.-Dec. 2014 (91 participants) Customers rated * 11-12/2014! With an overall grade of 1.1; Lying properties: 1.1, Hygiene: 1.0; Handling: 1.2; 9 out of 10 customers would recommend this mattress. *Result of a customer survey: Nov.-Dec. 2014 (91 participants) (the tested size was 90x200 cm in firmness level 2), Contents Number of pieces , 1 pc., Delivery , original dimensions, Delivery details , The mattress is delivered in original dimensions to your apartment/house., Ordering notes Slatted frame note , We recommend that when changing a mattress you also use a new slatted frame. Please note that for bed size 160/200 cm = 2x 80/200 cm slatted frames, for size 180/200 cm = 2x 90/200 cm slatted frames and for size 200/200 cm = 2x 100/200 cm slatted frames are required. Sizes 80/190 cm and 90/190 cm are special sizes; please double-check your bed dimensions. A slatted frame with at least 28 slats (for 200 cm length) is recommended. Before placing your order, be sure to measure the internal dimensions of the bed frame.",299.99,1285950280,36
4158629441,Nike,Nike Squad Crew Socks - White,"The Nike Squad Crew socks are made from sweat-wicking material with cushioning in high-wear areas for high performance and comfort during sports. Dri-FIT technology provides dry comfort. Cushioning in high-wear areas also adds durability. Material: 88% polyester, 9% cotton, 3% elastane",6.69,2761658531,41
1639256138,Kneer,"Fitted sheet »Exclusive-Stretch«, (1 pc.), optimal fit, sheet, 43679366-0 pink W/L: 180-200 cm x 200-220 cm (1 pc.)","With the Exclusive-Stretch fitted sheet you are getting an absolute top-quality product. Thanks to the yarn composition of 95% cotton and 5% elastane, and due to the particularly high-quality finishing, the fitted sheet has an exceptionally silky-shiny and smooth sleeping surface. The extremely elastic and hard-wearing Exclusive-Stretch fitted sheet is also suitable for very deep mattresses, box-spring beds and waterbeds up to a height of 40 cm. Its clever construction with rounded corners and a permanently sewn-in all-around elastic ensures a perfect fit on the mattress.",107.94,1324746498,48
1371718847,Beco,"Comfort foam mattress »Royal Duo KS«, Beco, 21 cm high, foam density: 30, orthopaedic mattress core contour, white, 80 cm x 200 cm x 21 cm 80 cm x 200 cm x 21 cm","Beco: The comfort foam mattress “Royal Duo KS” from BeCo is approx. 21 cm high, has 7 sleeping zones and is extremely point-elastic, dimensionally stable and breathable. All firmness levels H2, H3 and H4 = 1 price. It features a special orthopaedic mattress core contour that supports nightly spinal stretching and intervertebral disc regeneration. In addition, the mattress has a soft shoulder relief system. The skin-friendly, functional and elastic double-cloth cover (100% polyester) is quilted with a breathable climate fiber (100% polyester). The cover has a 4-sided zipper, is divisible, removable and washable up to 60 °C. Ideal for pet-hair allergy sufferers. The open-pored materials ensure a good sleeping climate. Made in Germany.",167.99,1739980608,61
2062777752,Hemafa,"Hemafa comfort foam mattress ""GEL STYLE 2200""",Gel art mattress with a one-sided topper for optimal PRESSURE RELIEF. Approx. 22 cm mattress height with 7 lying zones. Breathable cold foam support core with a one-sided high gel art topper. Mattress with,584.99,1334283705,62
3429530265,Braun,"Braun electric toothbrush Oral-B Pulsonic Slim One 2900, incl. 2nd handle",,101.85,1435573037,65
