ltable_id,rtable_id
53380330,34146981
34146981,7871753
7871753,96789323
96789323,65028129
65028129,7064344
7064344,52545309
7916004,82148801
82148801,71915407
71915407,67358569
67358569,70986060
70986060,2808350
2808350,11528260
11528260,37065951
37065951,56959522
56959522,8114507
8114507,2986158
2986158,52024859
52024859,1343338
1343338,11533001
11533001,45676063
28179113,10096449
10096449,59936386
59936386,9951028
9951028,839786
839786,9069903
9069903,12784003
12784003,59806836
35541139,76236901
76236901,54700637
54700637,30674519
30674519,93033011
93033011,47521302
47521302,96521974
13150770,48868171
48868171,66778692
66778692,10496
10496,50915848
50915848,77094922
77094922,21556335
21556335,63419453
29909599,50368196
50368196,66582202
66582202,57082229
57082229,55031719
55031719,14575813
14575813,157978
37083729,70863968
70863968,60655494
60655494,48169914
48169914,51999280
51999280,88924072
88924072,17648394
17648394,25603650
25603650,2101868
2101868,96272840
96272840,21427070
32292330,189533
189533,11279573
11279573,52958652
52958652,49539902
49539902,29543701
29543701,58702611
58702611,15548228
15548228,36626671
36626671,63479109
63479109,49062711
49062711,4502589
4502589,79851703
79851703,64327465
64327465,81706446
52158659,77340472
77340472,13825027
13825027,12606832
12606832,44483408
44483408,72241593
72241593,32347478
32347478,77077400
77077400,87281733
87281733,15159002
15159002,4544706
4544706,25301807
25301807,57643285
57643285,24092458
24092458,31223849
74270481,57644517
57644517,71716796
71716796,45934014
45934014,64511013
64511013,51902182
51902182,68806630
28769706,72310020
72310020,74587896
74587896,55393360
55393360,95830648
95830648,11022309
11022309,81316249
81316249,78817300
78817300,92965053
92965053,55727345
55727345,32999585
80240194,37261757
37261757,10548789
10548789,70291557
70291557,24693281
24693281,55718937
55718937,68649064
68649064,54181907
54181907,16295025
16295025,76584497
76584497,5185359
5185359,89090467
89090467,30429353
30429353,57956947
57956947,41771778
70805675,49056070
49056070,79821099
79821099,45759307
45759307,70403624
70403624,920276
920276,85881145
85881145,13081926
31517280,65140446
65140446,36986473
36986473,95741314
95741314,66437726
66437726,18785308
18785308,24412073
24412073,5727991
54637257,16319132
16319132,27426123
27426123,26301462
26301462,75372170
75372170,20991412
20991412,77650984
77650984,66814149
66814149,38447746
38447746,88810551
88810551,48136792
48136792,53041457
53041457,63053118
42030416,14035013
14035013,65129957
65129957,24990804
24990804,55002512
55002512,56666942
56666942,85887866
85887866,66880690
66880690,77966846
77966846,62446651
62446651,98793471
98793471,32155362
32155362,18227397
18227397,42978568
42978568,19078926
7406291,52677675
52677675,73861776
73861776,54323131
54323131,51644196
51644196,83152267
83152267,4686027
4686027,66482665
66482665,33000711
33000711,38787361
38787361,17545487
17545487,25725051
25725051,54505442
54505442,55806579
54362555,93243301
93243301,88359769
88359769,20317030
20317030,87935160
87935160,80935142
80935142,88642256
88642256,33086446
33086446,68173492
68173492,52356483
52356483,77005955
77005955,79937258
79937258,91126559
91126559,92606788
92606788,98249213
14864012,75916482
75916482,31210232
31210232,96132128
96132128,47070583
47070583,77564821
77564821,70702847
70702847,1374896
1374896,50044368
50044368,40125777
40125777,20278553
1021564,16691545
16691545,45941861
45941861,71330955
71330955,44763957
44763957,5708838
5708838,18394687
18394687,27326027
27326027,4486755
4486755,53025257
53025257,36019341
1901504,41834837
41834837,35809370
35809370,50789754
50789754,95568345
95568345,78851350
78851350,68716864
68716864,11247447
35452993,67415262
67415262,84780185
84780185,44557157
44557157,640655
640655,12459344
12459344,76024362
76024362,44772050
44772050,83455425
86650421,63542010
63542010,32780854
32780854,3766219
3766219,84429009
84429009,70324505
70324505,58970863
58970863,40331344
40331344,12113649
74610695,81257793
81257793,30137226
30137226,75426867
75426867,40845396
40845396,7189900
7189900,78863801
78863801,35759560
35759560,78512798
78512798,79449686
79449686,47887901
89002970,82025603
82025603,54500223
54500223,78196838
78196838,25467733
25467733,23175875
23175875,64399529
64399529,88641225
20148664,87251130
87251130,88812865
88812865,53519314
53519314,3889666
3889666,95707907
95707907,73325934
73325934,92782071
92782071,28656579
28656579,19661471
19661471,95169379
43900336,25830913
25830913,68731207
68731207,91650188
91650188,84964931
84964931,64323838
64323838,14965636
14965636,96925124
55005068,90806449
90806449,40654641
40654641,31558480
31558480,30454890
30454890,79709520
79709520,98604797
20044617,54112792
54112792,24557096
24557096,27286069
27286069,16669097
16669097,80963811
80963811,48541191
48541191,40007703
71230707,9999780
9999780,93168786
93168786,38383881
38383881,50426879
50426879,22845347
22845347,18252855
18252855,6664354
6664354,43274976
41132816,22134242
22134242,5656114
5656114,45946412
45946412,25025467
25025467,77373298
77373298,42270052
23249222,34868774
34868774,30454889
30454889,11757058
11757058,25877530
25877530,18503496
18503496,51895593
57812104,29412015
29412015,66264990
66264990,27442156
27442156,10214898
10214898,84965377
84965377,18529215
25695113,72029794
72029794,72667296
72667296,21670568
21670568,82628958
82628958,50250903
50250903,79415655
79415655,64238397
64238397,65931181
65931181,44517360
44517360,55104249
55104249,35876362
35876362,67059288
67059288,88048328
88048328,64714684
22638951,30711697
30711697,96544130
96544130,24528866
24528866,45145764
45145764,74756753
74756753,86250508
86250508,92734144
8122688,5089485
5089485,97657130
97657130,42432008
42432008,50532201
50532201,32931015
32931015,38939872
38939872,30218048
28089276,10899164
10899164,30382185
30382185,3699761
3699761,78136051
78136051,70069582
70069582,2687477
2687477,60946583
60946583,75551932
75551932,29462576
29462576,78944707
78944707,84935968
85704324,7900674
7900674,86176880
86176880,90040742
90040742,26736430
26736430,15413783
15413783,32212233
71275365,42916115
42916115,57322751
57322751,13939571
13939571,16871572
16871572,20971734
20971734,88216489
88216489,35724064
35724064,66639967
66639967,80529811
80529811,72470859
72470859,48451550
71348936,67877800
67877800,11665937
11665937,69487298
69487298,18843058
18843058,13433121
13433121,46741147
46741147,78851351
78851351,20511058
20511058,65301145
17236806,71614858
71614858,28044413
28044413,20847407
20847407,68658257
68658257,56064924
56064924,4412392
4412392,39023980
98589662,27897507
27897507,31585097
31585097,91698192
91698192,65813186
65813186,66123367
66123367,14519075
14519075,2555924
2555924,85463636
85463636,88215321
88215321,38402834
95518443,38784883
38784883,93725418
93725418,3447561
3447561,98651543
98651543,21521091
21521091,88590170
72591739,74074705
74074705,53928428
53928428,46809516
46809516,67028945
67028945,31273059
31273059,12225450
31133163,13110023
13110023,25769
25769,52963824
52963824,44141044
44141044,31036624
31036624,15448834
15448834,11605394
11605394,38071151
38071151,79234164
79234164,44872481
34826703,13129556
13129556,619357
619357,54689761
54689761,98132760
98132760,61306190
61306190,75128379
75128379,92299108
92299108,81164999
81164999,45511817
45511817,9480501
71514700,69083604
69083604,41462410
41462410,70894718
70894718,10484796
10484796,13253151
13253151,98424047
98424047,63223933
63223933,50903406
50903406,96845495
96845495,30190432
30190432,70535488
70535488,52762800
52762800,29733439
29733439,31525711
29316472,60334696
60334696,73823909
73823909,47115585
47115585,98849797
98849797,15194153
15194153,13552579
13552579,5842252
5842252,18960736
18960736,27880636
27880636,67021731
67021731,54609457
54609457,24268406
24268406,12375305
12375305,4727942
23678296,12173638
12173638,2282686
2282686,50032230
50032230,45759535
45759535,393407
393407,93112579
61102697,32932210
32932210,24121431
24121431,74955932
74955932,21463573
21463573,12456679
12456679,63565434
63565434,8315719
8315719,56652731
56652731,67549983
3954683,47933104
47933104,57274568
57274568,41191422
41191422,86391670
86391670,25593960
25593960,23707340
23707340,25420328
25420328,5514225
28679400,60359264
60359264,97396039
97396039,331318
331318,16529934
16529934,49097388
49097388,86558249
24300732,29035504
29035504,65827191
65827191,34532774
34532774,1225609
1225609,84071723
84071723,51726938
51726938,48541239
48541239,25138900
50979472,37994614
37994614,65860213
65860213,63529922
63529922,35351309
35351309,77489008
77489008,10196461
10196461,27416124
27416124,91980346
91980346,49072238
49072238,25837359
25837359,1877501
1877501,38546562
38546562,44729677
44729677,42042734
25138178,25445188
25445188,86849327
86849327,96712384
96712384,62898389
62898389,97573369
97573369,75582659
75582659,72164444
72164444,50809231
50809231,70326774
70326774,54214061
54214061,8289216
8289216,47562526
47562526,25911961
25911961,11223612
65208205,53119290
53119290,21506250
21506250,56574761
56574761,10049858
10049858,1273527
1273527,57015868
57015868,88323590
94500875,30567166
30567166,58893463
58893463,78851357
78851357,12190772
12190772,21346230
21346230,47291158
47291158,61213908
41707094,15071592
15071592,10003582
10003582,36803847
36803847,48484532
48484532,78819969
78819969,44443479
75962303,90938642
90938642,82640108
82640108,4312088
4312088,64029523
64029523,30102088
30102088,21548544
21548544,31292975
86355040,7934808
7934808,92894304
92894304,63623853
63623853,41234714
41234714,45840265
45840265,51060838
51060838,91661707
27370648,69646505
69646505,35633356
35633356,96482852
52144694,10086246
10086246,80346902
80346902,54519492
78329795,60354976
60354976,82364086
95595870,83585474
83585474,89714881
32297124,31572294
31572294,55124457
31981847,34487169
10218816,52592100
52592100,57914917
36173989,31519425
31519425,90516613
90516613,26217615
56354267,78313618
35157045,55607411
55607411,31186504
59874069,56774153
28044725,94351044
94351044,60071236
17954127,19692352
19692352,11874069
73410434,92349357
92349357,65761443
80693528,57698050
46111013,35807638
35807638,41505583
93561637,20665199
20665199,86039608
20940811,95017941
95017941,59226089
75134238,49754990
49754990,37931146
45667657,92702787
76164350,13514352
32746933,1705445
7472344,71191165
7503553,8780477
48938134,88602235
18640012,35823397
60595831,34959942
98456180,37652517
25083386,35417651
20448379,10816
71514451,84686125
7862454,81011691
88944870,55284959
48647262,32663296
66481726,35493301
47054569,98321879
45858702,25351062
36195674,19820120
63117104,77300355
76350435,68659568
