id,brand,title,description,price,priceCurrency,cluster_id,label,unseen
53380330,,Garmin Fenix 5S Plus GPS Multisport Watch with HR - Black,,479,GBP,23040,23040,False
7916004,,Kingston Canvas 32GB Micro SDHC C10 U1,,17.95,USD,595102,595102,False
28179113,Hydro Flask,Hydro Flask 21oz Standard Mouth Flex Cap Olive,,32.95,USD,1446023,1446023,False
29688470,,Fujifilm instax mini film Rainbow 10 Sheets,"¡°instax mini¡± film is for all instax mini cameras and comes in a handy cartridge. It offers stunning instant pictures that you can fit into a purse, wallet or mini photo frame. instax film ensures sharp, clear reproduction, vivid color and natural skin tones.",199.00,ZAR,1374090,1374090,False
8680758,,Samsung MZ-V7S250 M.2 250 GB PCI Express 3.0 V-NAND MLC NVMe,"250GB, M.2, PCIe Gen 3.0 x 4, NVMe 1.3",107.78,EUR,993500,993500,False
51984550,Fujifilm,Fujifilm Instax Mini Monochrome Film (10 Pack),This Fuji Instax Mini Monochrome Film (10 Pack) allows you to be more creative with your Fujifilm Instax Instant Camera and explore life in black and white.,175.00,ZAR,165928,165928,False
23809182,,Samsung 970 EVO MZ-V7E500BW 500GB PCI Express Internal Solid State Drive,Staples.com: Samsung 970 EVO MZ-V7E500BW 500GB PCI Express Internal Solid State Drive with fast and free shipping on select orders.,90.99,USD,1929047,1929047,False
23836667,Blaze,"Blaze Built-In Natural Gas Grill with Lights (BLZ-4LTE-NG), 32-inch","Blaze introduces an affordable commercial style grill that was designed with your outdoor BBQ desires in mind. Blaze gas grills feature precision cut, 304 stainless steel components which bring the promise of lasting durability to your outdoor BBQ! This model takes things to the next level with it's signature SRL led accent lights and integrated halogen hood lighting. Blaze gas grills have a lifetime warranty that warrants against any defects in the manufacturing and workmanship of the main burners, cooking grids, body, flame tamers, heat zone separators, warming rack, and control valves. While ignition, electronic, and lighting systems are covered for one (1) year after the date of purchase.",1649.99,USD,1435805,1435805,False
53099378,,Zegarek Omega Seamaster Planet Ocean 600M Co-Axial Chronograph 45.5mm 215.30.46.51.01.001,Zegarek m?ski Omega Seamaster Planet Ocean 600M Co-Axial Chronograph 45.5mm215.30.46.51.01.001,28 413z?,PLN,27649829,27649829,False
85554698,,RAM Short Composite Clamp Arm B Size (RAP-B-201U-A),"Included:1 x RAM Short Composite Clamp Arm B Size (RAP-B-201U-A)The RAP-B-201U-Ashort length (6cm) plastic double socket arm features a socket at both endssuitable for B Size (1"") balls. RAM's socket technology allows for almost infinite adjustment to achieve the perfect viewing angle.SpecificationsMaterial:High Strength CompositeBall Size:1"" Rubber Ball ""B"" SizeLifetime WarrantyOverall Length: 2.42""Socket-To-Socket Length: 1.75""This item is high strength composite plastic. For aluminium check out theRAM-B-201U-A.Note:The ""U"" in the part number reflects product packaged in poly bag.Help(Product packaged in poly bag.)",16.25,AUD,3656260,3656260,False
